filename,github_url,original_pdf_url
instruction_pdf_english.txt,https://github.com/rkeller370/pdftest/blob/main/output/instruction_pdf_english.txt,https://maine207.org/wp-content/uploads/2025/08/English-PS-Flyer.pdf
instruction_pdf_spanish.txt,https://github.com/rkeller370/pdftest/blob/main/output/instruction_pdf_spanish.txt,https://maine207.org/wp-content/uploads/2025/08/Spanish-PS-Flyer.pdf
instruction_pdf_arabic.txt,https://github.com/rkeller370/pdftest/blob/main/output/instruction_pdf_arabic.txt,https://maine207.org/wp-content/uploads/2025/08/Arabic-PS-Flyer.pdf
instruction_pdf_polish.txt,https://github.com/rkeller370/pdftest/blob/main/output/instruction_pdf_polish.txt,https://maine207.org/wp-content/uploads/2025/08/Polish-PS-Flyer.pdf
responding_to_acts_of_hate__racism__and_discrimination.txt,https://github.com/rkeller370/pdftest/blob/main/output/responding_to_acts_of_hate__racism__and_discrimination.txt,https://maine207.org/wp-content/uploads/2021/10/Maine-D207-Responding-to-Acts-of-Hate-Racism-and-Discrimination.docx.pdf
responding_to_acts_of_hate__racism__and_discrimination.txt,https://github.com/rkeller370/pdftest/blob/main/output/responding_to_acts_of_hate__racism__and_discrimination.txt,https://maine207.org/wp-content/uploads/2021/10/Maine-D207-Responding-to-Acts-of-Hate-Racism-and-Discrimination.docx.pdf
learn_more_about_mymealtime_in_english_.txt,https://github.com/rkeller370/pdftest/blob/main/output/learn_more_about_mymealtime_in_english_.txt,https://maine207.org/wp-content/uploads/2022/07/MyMealtime_Parent_Flyer.pdf
m_s_informaci_n_sobre_mymealtime_en_ingl_s_.txt,https://github.com/rkeller370/pdftest/blob/main/output/m_s_informaci_n_sobre_mymealtime_en_ingl_s_.txt,https://maine207.org/wp-content/uploads/2022/07/MyMealtime_Parent_Flyer_ESP.pdf
free_and_reduced_lunch_application_in_english.txt,https://github.com/rkeller370/pdftest/blob/main/output/free_and_reduced_lunch_application_in_english.txt,https://maine207.org/wp-content/uploads/2025/06/final2526English.pdf
en_espanol.txt,https://github.com/rkeller370/pdftest/blob/main/output/en_espanol.txt,https://maine207.org/wp-content/uploads/2025/06/final2526spanish.pdf
w_j_zyku_polskim.txt,https://github.com/rkeller370/pdftest/blob/main/output/w_j_zyku_polskim.txt,https://maine207.org/wp-content/uploads/2025/06/final2526polish.pdf
______________.txt,https://github.com/rkeller370/pdftest/blob/main/output/______________.txt,https://maine207.org/wp-content/uploads/2025/06/final2526arabic.pdf
en_espa_ol_pdf.txt,https://github.com/rkeller370/pdftest/blob/main/output/en_espa_ol_pdf.txt,https://maine207.org/wp-content/uploads/2024/10/Uniform-Grievance-Procedure_Spanish.pdf
w_j_zyku_polskim_pdf.txt,https://github.com/rkeller370/pdftest/blob/main/output/w_j_zyku_polskim_pdf.txt,https://maine207.org/wp-content/uploads/2024/10/Uniform-Grievance-Procedure_Polish.pdf
_______________pdf.txt,https://github.com/rkeller370/pdftest/blob/main/output/_______________pdf.txt,https://maine207.org/wp-content/uploads/2024/10/Uniform-Grievance-Procedure_Arabic.pdf
school_resource_officer_grievance_procedure__english_.txt,https://github.com/rkeller370/pdftest/blob/main/output/school_resource_officer_grievance_procedure__english_.txt,https://maine207.org/wp-content/uploads/2018/06/School-Resource-Officer-_-Uniform-Grievance-Procedure.pdf
procedimiento_de_quejas_de_los_agentes_de_recursos_escolares__espa_ol_.txt,https://github.com/rkeller370/pdftest/blob/main/output/procedimiento_de_quejas_de_los_agentes_de_recursos_escolares__espa_ol_.txt,https://maine207.org/wp-content/uploads/2021/08/SRO_Uniform_G_spanish.pdf
student_and_family_privacy_rights.txt,https://github.com/rkeller370/pdftest/blob/main/output/student_and_family_privacy_rights.txt,https://maine207.org/wp-content/uploads/sites/3/2018/05/Maine-207-Student-and-Family-Privacy-Rights.pdf
parents__right_to_know.txt,https://github.com/rkeller370/pdftest/blob/main/output/parents__right_to_know.txt,https://maine207.org/wp-content/uploads/sites/3/2018/05/Maine-207-Parent-Right-to-Know-Educator-Qualifications.pdf
temporary_living_situations_homeless_resources.txt,https://github.com/rkeller370/pdftest/blob/main/output/temporary_living_situations_homeless_resources.txt,https://maine207.org/wp-content/uploads/2018/06/Maine-207-Temporary-Living-Situations.pdf
sexual_harassment_policy.txt,https://github.com/rkeller370/pdftest/blob/main/output/sexual_harassment_policy.txt,https://maine207.org/wp-content/uploads/sites/3/2018/05/Maine-207-Sexual-Harassment-Policy.pdf
teen_dating_violence_prohibited.txt,https://github.com/rkeller370/pdftest/blob/main/output/teen_dating_violence_prohibited.txt,https://maine207.org/wp-content/uploads/sites/3/2018/05/Maine-207-Teen-Dating-Violence-Prohibited-Policy.pdf
pass_fail_form.txt,https://github.com/rkeller370/pdftest/blob/main/output/pass_fail_form.txt,https://maine207.org/wp-content/uploads/2019/07/Pass-Fail-FormProcedures.pdf
panorama_student_sel_survey.txt,https://github.com/rkeller370/pdftest/blob/main/output/panorama_student_sel_survey.txt,https://maine207.org/wp-content/uploads/2022/09/Panorama-Student-SEL-Survey-Updated-Fall-2022.pdf
panorama_student_climate_and_equity_survey.txt,https://github.com/rkeller370/pdftest/blob/main/output/panorama_student_climate_and_equity_survey.txt,https://maine207.org/wp-content/uploads/2025/10/Panorama-Student-Climate-and-Equity-Survey.pdf
volunteer_policy.txt,https://github.com/rkeller370/pdftest/blob/main/output/volunteer_policy.txt,https://maine207.org/wp-content/uploads/2025/12/District-207-Volunteer-Policy.pdf
legal_budget_2025_2026.txt,https://github.com/rkeller370/pdftest/blob/main/output/legal_budget_2025_2026.txt,https://maine207.org/wp-content/uploads/2025/09/Legal-Budget-2025-2026.pdf
annual_statement_of_affairs_2020.txt,https://github.com/rkeller370/pdftest/blob/main/output/annual_statement_of_affairs_2020.txt,https://maine207.org/wp-content/uploads/2021/11/Annual-Statement-of-Affairs-2020.pdf
annual_financial_report_june_30__2025.txt,https://github.com/rkeller370/pdftest/blob/main/output/annual_financial_report_june_30__2025.txt,https://maine207.org/wp-content/uploads/2025/11/Annual-Financial-Report-June-30-2025.pdf
contracts_over__25_000_2025_2026.txt,https://github.com/rkeller370/pdftest/blob/main/output/contracts_over__25_000_2025_2026.txt,https://maine207.org/wp-content/uploads/2025/12/Contracts-Over-25000-2025-2026.pdf
nserve_annual_financial_report_june_30__2025.txt,https://github.com/rkeller370/pdftest/blob/main/output/nserve_annual_financial_report_june_30__2025.txt,https://maine207.org/wp-content/uploads/2025/11/NSERVE-Annual-Financial-Report-June-30-2025.pdf
2025_26_printable_school_calendar_for_parents.txt,https://github.com/rkeller370/pdftest/blob/main/output/2025_26_printable_school_calendar_for_parents.txt,https://maine207.org/wp-content/uploads/2018/06/2025_26calendar.pdf
